classroom_id,name,location_type,seat_count,room_type,available_equipment
1,教三-201,3,64,普通教室,
2,教三-202,3,64,普通教室,
3,教三-203,3,64,普通教室,
4,教三-204,3,64,普通教室,
5,教三-205,3,64,普通教室,
6,教三-206,3,64,普通教室,
7,教三-207,3,64,普通教室,
8,教三-208,3,64,普通教室,
9,教三-209,3,64,普通教室,
10,教三-210,3,64,普通教室,
11,教二-101,2,64,普通教室,
12,教二-102,2,64,普通教室,
13,教二-103,2,64,普通教室,
14,教二-104,2,64,普通教室,
15,教二-105,2,64,普通教室,
16,教二-106,2,64,普通教室,
17,教二-107,2,64,普通教室,
18,教二-108,2,64,普通教室,
19,教二-109,2,64,普通教室,
20,教二-110,2,64,普通教室,
21,教二-111,2,64,普通教室,
22,教二-112,2,64,普通教室,
23,教二-113,2,64,普通教室,
24,教二-114,2,64,普通教室,
25,教二-115,2,64,普通教室,
26,教二-116,2,64,普通教室,
27,教二-117,2,64,普通教室,
28,教二-118,2,64,普通教室,
29,教二-119,2,64,普通教室,
30,教二-120,2,64,普通教室,
36,主-报告厅,主,128,智慧教室,LED大屏
37,体-馆-1,体育馆,64,体育馆,
